ASV,Kingdom,Phylum,Class,Order,Family,Genus,Site,Hours,Oxygen,Label,baseMean,log2FoldChange,lfcSE,pvalue,padj
Seq_1001,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella,Čertovo,72 h,Oxic,Labelled,5.643577575173288,2.80031391637422,1.9081261642527185,4.4253575014811e-4,0.006946586298017637
Seq_1072,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Čertovo,72 h,Oxic,Labelled,6.371221424823234,2.065501444517244,1.9354915943788134,0.0013152537442442348,0.01748922654133713
Seq_937,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Čertovo,72 h,Oxic,Labelled,6.501355617705291,1.1407400343939724,0.7635203082270413,0.004267347891391344,0.04779429638358305
Seq_1463,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Čertovo,72 h,Oxic,Labelled,6.879108009020038,1.8688938416555796,0.9878240202553799,4.236747606056426e-4,0.0068486806662850265
Seq_1317,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Čertovo,72 h,Oxic,Labelled,6.906502931365339,2.7916666011399442,0.9285057661133175,1.9224603307465608e-5,4.710027810329074e-4
Seq_1125,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Edaphobacter,Čertovo,72 h,Oxic,Labelled,7.2885707691734165,1.7049912507633342,0.724031662764753,1.798224264139271e-4,0.003278622844384159
Seq_1265,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,Unclassified,Unclassified,Čertovo,72 h,Oxic,Labelled,7.326878358838936,0.9936221921131126,0.4270307581224839,0.003729744322373901,0.04307579598953225
Seq_1762,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Labraceae,Labrys,Čertovo,72 h,Oxic,Labelled,7.449455005774713,3.631373260713409,0.8848700644048554,1.8435387952665613e-6,7.607023239415705e-5
Seq_841,Bacteria,WPS-2,Unclassified,Unclassified,Unclassified,Unclassified,Čertovo,72 h,Oxic,Labelled,7.534909859018357,1.4337283453575984,0.635624880502285,4.857008838106904e-4,0.007466460645246692
Seq_1044,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Čertovo,72 h,Oxic,Labelled,7.693315986019853,4.910039395786945,1.3249328632720043,3.2255432936681088e-6,1.0760961456322542e-4
Seq_1061,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Acidicapsa,Čertovo,72 h,Oxic,Labelled,7.697324597881414,1.587636089221181,0.8719875076049882,7.685968237276267e-4,0.011056512106467143
Seq_38,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidicaldus,Čertovo,72 h,Oxic,Labelled,7.825905502609734,4.096921501049819,1.8668085308935307,5.979565266549283e-5,0.0013205575123872218
